"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier,Chosen
"Multi-Task Convolutional Neural Network for Pose-Invariant Face Recognition","X. Yin; X. Liu","Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA",IEEE Transactions on Image Processing,"28 Nov 2017","2018","27","2","964","975","This paper explores multi-task learning (MTL) for face recognition. First, we propose a multi-task convolutional neural network (CNN) for face recognition, where identity classification is the main task and pose, illumination, and expression (PIE) estimations are the side tasks. Second, we develop a dynamic-weighting scheme to automatically assign the loss weights to each side task, which solves the crucial problem of balancing between different tasks in MTL. Third, we propose a pose-directed multi-task CNN by grouping different poses to learn pose-specific identity features, simultaneously across all poses in a joint framework. Last but not least, we propose an energy-based weight analysis method to explore how CNN-based MTL works. We observe that the side tasks serve as regularizations to disentangle the PIE variations from the learnt identity features. Extensive experiments on the entire multi-PIE dataset demonstrate the effectiveness of the proposed approach. To the best of our knowledge, this is the first work using all data in multi-PIE for face recognition. Our approach is also applicable to in-the-wild data sets for pose-invariant face recognition and achieves comparable or better performance than state of the art on LFW, CFP, and IJB-A datasets.","1941-0042","","10.1109/TIP.2017.2765830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8080244","Multi-task learning;pose-invariant face recognition;CNN;disentangled representation","Face recognition;Face;Estimation;Feature extraction;Training;Testing","Algorithms;Biometric Identification;Databases, Factual;Face;Humans;Image Processing, Computer-Assisted;Neural Networks (Computer);Pattern Recognition, Automated","244","1","67","IEEE","23 Oct 2017","","","IEEE","IEEE Journals",False
"Multi-objective Memetic Algorithm with Adaptive Weights for Inverse Antenna Design","P. Kadlec; M. Capek","Brno University of Technology, Brno, Czech Republic; Czech Technical University in Prague, Prague, Czech Republic",IEEE Transactions on Antennas and Propagation,"","2025","PP","99","1","1","This paper deals with discrete topology optimization and describes the modification of a single-objective algorithm into its multi-objective counterpart. The result is a significant increase in the optimization speed and quality of the resulting Pareto front as compared to conventional state-of-the-art automated inverse design techniques. This advancement is possible thanks to a memetic algorithm combining a gradient-based search for local minima with heuristic optimization to maintain sufficient diversity. The local algorithm is based on rank-1 perturbations; the global algorithm is NSGA-II. An important advancement is the adaptive weighting of objective functions during optimization. The procedure is tested on four challenging examples dealing with both physical and topological metrics and multi-objective settings. The results are compared with standard techniques, and the superb performance of the proposed technique is reported. The implemented algorithm applies to antenna inverse design problems and is an efficient data miner for machine learning tools.","1558-2221","","10.1109/TAP.2025.3584518","Grantov? Agentura ?esk? Republiky(grant numbers:21-19025M); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11074263","Antennas;numerical methods;optimization methods;shape sensitivity analysis;structural topology design;inverse design","Vectors;Optimization;Shape;Memetics;Linear programming;Antennas;Heuristic algorithms;Frequency modulation;Diversity reception;Topology","","","","","IEEE","8 Jul 2025","","","IEEE","IEEE Early Access Articles",False
"Joint Modeling for ASR Correction and Dialog State Tracking","D. Wang; T. Zhang; C. Yuan; X. Wang","Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","5 May 2023","2023","","","1","5","In spoken dialog system, transcription errors in Automated Speech Recognition (ASR) impact downstream task, especially dialog state tracking (DST). Approaches to alleviate such errors involve using richer information such as word-lattices and word confusion networks. However, in some cases, this information may not be easily obtained. In addition, the large pre-trained language model is trained on plain text, leading to the gap between spoken DST and original pretrained model. In this paper, we propose a multi-task method which performs DST jointly with ASR correction to improve the performance of both tasks. To do so, we build a MultiWOZ-ASR dataset containing ASR noise in DST and mitigate the gap by utilizing a multi-task pre-training framework. Moreover, curriculum learning is adopted to alleviate the phenomenon that the correction task is difficult to converge at the initial stage of pre-training. Experimental results show that our model achieves significant improvements on DSTC2 and MultiWOZ-ASR dataset.","2379-190X","978-1-7281-6327-7","10.1109/ICASSP49357.2023.10095945","Major Research Plan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10095945","Dialog state tracking;Multi-task learning;ASR;Pre-training;Data augmentation","Speech recognition;Signal processing;Multitasking;Robustness;Acoustics;Noise measurement;Task analysis","","","","16","IEEE","5 May 2023","","","IEEE","IEEE Conferences",False
"Data vs. Physics: The Apparent Pareto Front of Physics-Informed Neural Networks","F. M. Rohrhofer; S. Posch; C. Gößnitzer; B. C. Geiger","Know-Center GmbH, Research Center for Data-Driven Business and Big Data Analytics, Graz, Austria; LEC GmbH, Large Engines Competence Center, Graz, Austria; LEC GmbH, Large Engines Competence Center, Graz, Austria; Know-Center GmbH, Research Center for Data-Driven Business and Big Data Analytics, Graz, Austria",IEEE Access,"18 Aug 2023","2023","11","","86252","86261","Physics-informed neural networks (PINNs) have emerged as a promising deep learning method, capable of solving forward and inverse problems governed by differential equations. Despite their recent advance, it is widely acknowledged that PINNs are difficult to train and often require a careful tuning of loss weights when data and physics loss functions are combined by scalarization of a multi-objective (MO) problem. In this paper, we aim to understand how parameters of the physical system, such as characteristic length and time scales, the computational domain, and coefficients of differential equations affect MO optimization and the optimal choice of loss weights. Through a theoretical examination of where these system parameters appear in PINN training, we find that they effectively and individually scale the loss residuals, causing imbalances in MO optimization with certain choices of system parameters. The immediate effects of this are reflected in the apparent Pareto front, which we define as the set of loss values achievable with gradient-based training and visualize accordingly. We empirically verify that loss weights can be used successfully to compensate for the scaling of system parameters, and enable the selection of an optimal solution on the apparent Pareto front that aligns well with the physically valid solution. We further demonstrate that by altering the system parameterization, the apparent Pareto front can shift and exhibit locally convex parts, resulting in a wider range of loss weights for which gradient-based training becomes successful. This work explains the effects of system parameters on MO optimization in PINNs, and highlights the utility of proposed loss weighting schemes.","2169-3536","","10.1109/ACCESS.2023.3302892","“COMET Module LEC HybTec” within the “COMET - Competence Centers for Excellent Technologies” Programme of the Austrian Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology (BMK), the Austrian Federal Ministry of Labour and Economy (BMAW) and the Province of Styria; Austrian Research Promotion Agency (FFG); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10210413","Multi-objective optimization;Pareto front;physics-informed neural networks;system parameters","Physics;Training;Neural networks;Differential equations;Integrated circuits;Complexity theory;Pareto optimization;Neural networks;Parameter estimation","","22","","36","CCBY","7 Aug 2023","","","IEEE","IEEE Journals",False
"DAO to HANOI via DeSci: AI Paradigm Shifts from AlphaGo to ChatGPT","Q. Miao; W. Zheng; Y. Lv; M. Huang; W. Ding; F. -Y. Wang","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, China; Institute of Automation, Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Institute of System Engineering, Macau University of Science and Technology, Macao, China; Institute of Automation, Chinese Academy of Sciences, Beijing, China",IEEE/CAA Journal of Automatica Sinica,"28 Mar 2023","2023","10","4","877","897","From AlphaGo to ChatGPT, the field of AI has launched a series of remarkable achievements in recent years. Analyzing, comparing, and summarizing these achievements at the paradigm level is important for future AI innovation, but has not received sufficient attention. In this paper, we give an overview and perspective on machine learning paradigms. First, we propose a paradigm taxonomy with three levels and seven dimensions from a knowledge perspective. Accordingly, we give an overview on three basic and twelve extended learning paradigms, such as Ensemble Learning, Transfer Learning, etc., with figures in unified style. We further analyze three advanced paradigms, i.e., AlphaGo, AlphaFold and ChatGPT. Second, to enable more efficient and effective scientific discovery, we propose to build a new ecosystem that drives AI paradigm shifts through the decentralized science (DeSci) movement based on decentralized autonomous organization (DAO). To this end, we design the Hanoi framework, which integrates human factors, parallel intelligence based on a combination of artificial systems and the natural world, and the DAO to inspire AI innovations.","2329-9274","","10.1109/JAS.2023.123561","National Key Research and Development Program of China(grant numbers:2020YFB2104001); National Natural Science Foundation of China(grant numbers:62271485,61903363,U1811463); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10085974","ChatGPT;decentralized science (DeSci);decentralized autonomous organization (DAO);machine learning;paradigm shift","Technological innovation;Decentralized autonomous organization;Transfer learning;Ecosystems;Taxonomy;Supervised learning;Human factors","","65","","73","","28 Mar 2023","","","IEEE","IEEE Journals",False
"Acoustic Prompt Tuning: Empowering Large Language Models With Audition Capabilities","J. Liang; X. Liu; W. Wang; M. D. Plumbley; H. Phan; E. Benetos","Centre for Digital Music (C4DM), Queen Mary University of London, London, U.K.; Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, Guildford, U.K.; Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, Guildford, U.K.; Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, Guildford, U.K.; Meta Reality Labs, Paris, France; Centre for Digital Music (C4DM), Queen Mary University of London, London, U.K.","IEEE Transactions on Audio, Speech and Language Processing","26 Feb 2025","2025","33","","949","961","The auditory system plays a substantial role in shaping the overall human perceptual experience. While prevailing large language models (LLMs) and visual language models (VLMs) have shown their promise in solving a wide variety of language and vision understanding tasks, only a few of them can be generalised to the audio domain without compromising their domain-specific capability. In this work, we introduce Acoustic Prompt Tuning (APT), a new adapter extending LLMs and VLMs to the audio domain by injecting audio embeddings to the input of LLMs, namely soft prompting. Specifically, APT applies an instruction-aware audio aligner to generate soft prompts, conditioned on both input text and sounds, as the inputs to the language model. To mitigate data scarcity in the audio domain, a curriculum learning strategy is proposed by formulating diverse audio tasks in a sequential manner. Moreover, we improve the audio language model by using interleaved audio-text embeddings as the input sequence. In this improved model, zero constraints are imposed on the input format, thus it is capable of tackling diverse modelling tasks, such as few-shot audio classification and audio comparison. To further evaluate the advanced ability of the audio networks, we introduce natural language audio reasoning (NLAR), a new task that analyses two audio clips by comparison and summarisation. Experiments show that APT-enhanced LLMs (namely APT-LLMs) achieve competitive results compared to the expert models (i.e., the networks trained on the target datasets) across various tasks. We finally demonstrate APT's ability in extending frozen VLMs to the audio domain without fine-tuning, achieving promising results in audio-visual question and answering.","2998-4173","","10.1109/TASLPRO.2025.3533375","Research Gift from Google; RAEng/Leverhulme Trust Research Fellowship(grant numbers:LTRF2223-19-106); Engineering and Physical Sciences Research Council(grant numbers:EP/T518086/1,EP/Y028805/1,EP/T019751/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10852359","Audio recognition;audio understanding;audio-language learning;automated audio captioning;large language model;natural language audio reasoning","Acoustics;Visualization;Training;Adaptation models;Cognition;Natural languages;Large language models;Feature extraction;Spectrogram;Speech processing","","2","","57","IEEE","24 Jan 2025","","","IEEE","IEEE Journals",False
"How Simulation Helps Autonomous Driving: A Survey of Sim2real, Digital Twins, and Parallel Intelligence","X. Hu; S. Li; T. Huang; B. Tang; R. Huai; L. Chen","School of Artificial Intelligence, Hubei University, Wuhan, China; School of Artificial Intelligence, Hubei University, Wuhan, China; School of Artificial Intelligence, Hubei University, Wuhan, China; Department of Electrical and Computer Engineering, Worcester Polytechnic Institute, Worcester, MA, USA; Beijing Huairou Academy of Parallel Sensing, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Intelligent Vehicles,"22 Feb 2024","2024","9","1","593","612","Developing autonomous driving technologies necessitates addressing safety and cost concerns. Both academic research and commercial applications of autonomous driving vehicles require extensive simulation and real-world testing. The challenge lies in effectively transferring driving knowledge from the virtual simulation world to the reality world, known as the reality gap (RG). This gap arises due to differences in lighting, textures, vehicle dynamics, and agents' behaviors between the two environments. To address this issue, researchers have explored three main approaches: sim2real, digital twins (DTs), and parallel intelligence (PI) technologies. This article reviews these solutions and examines their applications and innovations in autonomous driving. Furthermore, we delve into the state-of-the-art algorithms, models, and involved simulators, and discuss the developmental process from sim2real to DTs and PI. The presentation also sheds light on the challenges and future perspectives in the development of sim2real, DTs, and PI in the field of autonomous driving.","2379-8904","","10.1109/TIV.2023.3312777","National Natural Science Foundation of China(grant numbers:62273135); Natural Science Foundation of Hubei Province in China(grant numbers:2021CFB460); Hubei University in China(grant numbers:1190017755); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10242366","Autonomous driving;sim2real;digital twins;parallel intelligence;reality gap","Autonomous vehicles;Digital twins;Metalearning;Virtual reality;Vehicle dynamics;Autonomous driving","","71","","146","IEEE","7 Sep 2023","","","IEEE","IEEE Journals",False
"Closed-Loop Control of Droplet Quality Based on Curriculum Deep Deterministic Policy Gradient Algorithm","Y. Shen; H. Zhan; Y. Zhang; Y. Zhang; S. Tang; Z. Li","College of Mechanical Engineering, Zhejiang University of Technology, Hangzhou, Zhejiang, China; College of Mechanical Engineering, Zhejiang University of Technology, Hangzhou, Zhejiang, China; College of Mechanical Engineering, Zhejiang University of Technology, Hangzhou, Zhejiang, China; College of Mechanical Engineering, Zhejiang University of Technology, Hangzhou, Zhejiang, China; College of Mechanical Engineering, Zhejiang University of Technology, Hangzhou, Zhejiang, China; College of Mechanical Engineering, Zhejiang University of Technology, Hangzhou, Zhejiang, China",IEEE Access,"27 Aug 2025","2025","13","","148060","148073","Piezoelectric inkjet printing has important applications in high-precision manufacturing, but precise control of droplet quality faces challenges such as the nonlinear coupling between drive waveform parameters and droplet characteristics, as well as environmental disturbances. To address these issues, this paper proposes a closed-loop droplet control method based on a curriculum deep deterministic policy gradient (DDPG) algorithm, with the standard deviation of droplet volume and velocity as the main optimization objectives. To tackle the complex mapping relationships and boost training efficiency, we first built a high-fidelity simulation environment using a four-layer deep residual network trained on real-world industrial ink droplet data. Following that, we designed a dynamic weight-adaptive composite reward mechanism and integrated a curriculum learning strategy with the Deep Deterministic Policy Gradient (DDPG) algorithm. Relying on our self-developed droplet observation platform, we achieve closed-loop control of the standard deviation of droplet volume and velocity. Experimental results show that this method can precisely control the droplet volume within ±0.1 pl of the target value, while keeping the velocity standard deviation below 40 mm/s. The adjustment process is stable without severe oscillations, and the method demonstrates strong robustness against environmental disturbances such as ink supply pressure. This provides an efficient and practical solution for the automated control of droplet quality in piezoelectric inkjet printing.","2169-3536","","10.1109/ACCESS.2025.3595873","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113296","Piezoelectric inkjet printing;DDPG;droplet control;multi-objective optimization","Standards;Ink jet printing;Optimization;Heuristic algorithms;Real-time systems;Stability criteria;Residual neural networks;Reinforcement learning;Production;Manufacturing","","","","35","CCBY","5 Aug 2025","","","IEEE","IEEE Journals",True
"Loss Balance Aware Algorithms for Single Image Deraining Network on Mobile Devices","R. Chen; S. Qiao; Y. Li; Y. Fan","College of Information Science and Technology, Dalian Maritime University, Dalian, China; College of Information Science and Technology, Dalian Maritime University, Dalian, China; Department of Intelligent Science, Xi’an Jiaotong-Liverpool University, Suzhou, China; Spreadtrum Communications Shenzhen Company Ltd., Shenzhen, China",IEEE Transactions on Consumer Electronics,"17 Jun 2025","2025","71","1","260","272","Despite many recent advances in single-image deraining, a deraining neural network affordable for resource-limited or mobile devices remains desirable. Unlike the methods relying on enormous network architectures and careful hyperparameter tuning, we introduce a lightweight model integrated with a streamlined deployment schematic and dynamic weighting algorithms to achieve efficient and automated single-image deraining on mobile devices. At first, we construct the network and associate it with multiple loss functions to efficiently and effectively capture expected background textures and high-frequency oscillations caused by rain streaks. To improve usability on handheld instruments, we simplify the deployment process by omitting some time-consuming offline operations. Importantly, we present two dynamic weighting algorithms to automatically synergize varied optimization goals. These algorithms prevent our framework from tedious manual regulation, which enhances the flexibility our model on portable devices. We conduct qualitative and quantitative evaluations on synthetic and real datasets of rainy images. The experimental results demonstrate that our model can be easily deployed on mobile devices and outperforms other state-of-the-art approaches in robust rain removal, even for real images captured in heavy rain.","1558-4127","","10.1109/TCE.2025.3534680","National Natural Science Foundation of China(grant numbers:62472062,61902050,61906027,62002039); Dalian Science and technology Innovation Fund Project(grant numbers:2024JJ12GX022); Dalian Excellent Young Project(grant numbers:2022RY35); Fundamental Research Funds for the Central Universities(grant numbers:3132019355); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10854562","Mobile devices;single-image deraining;joint learning;multiple loss balancing;algorithm","Rain;Mobile handsets;Optimization;Heuristic algorithms;Feature extraction;Consumer electronics;Computational modeling;Training;Loss measurement;Computer architecture","","","","35","IEEE","27 Jan 2025","","","IEEE","IEEE Journals",False
"Blind Image Quality Assessment via Vision-Language Correspondence: A Multitask Learning Perspective","W. Zhang; G. Zhai; Y. Wei; X. Yang; K. Ma","MoE Key Lab of Artificial Intelligence, AI Institute, Shanghai Jiao Tong University; MoE Key Lab of Artificial Intelligence, AI Institute, Shanghai Jiao Tong University; Department of Computer Science, City University of Hong Kong; MoE Key Lab of Artificial Intelligence, AI Institute, Shanghai Jiao Tong University; Department of Computer Science, City University of Hong Kong",2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"22 Aug 2023","2023","","","14071","14081","We aim at advancing blind image quality assessment (BIQA), which predicts the human perception of image quality without any reference information. We develop a general and automated multitask learning scheme for BIQA to exploit auxiliary knowledge from other tasks, in a way that the model parameter sharing and the loss weighting are determined automatically. Specifically, we first describe all candidate label combinations (from multiple tasks) using a textual template, and compute the joint probability from the cosine similarities of the visual-textual embeddings. Predictions of each task can be inferred from the joint distribution, and optimized by carefully designed loss functions. Through comprehensive experiments on learning three tasks - BIQA, scene classification, and distortion type identification, we verify that the proposed BIQA method 1) benefits from the scene classification and distortion type identification tasks and outperforms the state-of-the-art on multiple IQA datasets, 2) is more robust in the group maximum differentiation competition, and 3) realigns the quality annotations from different IQA datasets more effectively. The source code is available at https://github.com/zwx8981/LIQE.","2575-7075","979-8-3503-0129-8","10.1109/CVPR52729.2023.01352","Shanghai Municipal Science and Technology Major Project(grant numbers:2021SHZDZX0102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204315","Datasets and evaluation","Image quality;Training;Scene classification;Computational modeling;Source coding;Distortion;Multitasking","","182","","80","IEEE","22 Aug 2023","","","IEEE","IEEE Conferences",False
